Year,Event,AverageWeight
1920,Athletics Men's 400 metres Hurdles,73.71428571428571
1920,"Athletics Men's 5,000 metres",64.5
1920,Athletics Men's 56-pound Weight Throw,99.6875
1920,Athletics Men's 800 metres,67.76923076923077
1920,"Athletics Men's Cross-Country, Individual",59.36363636363637
1920,"Athletics Men's Cross-Country, Team",59.8421052631579
1920,Athletics Men's Decathlon,78.63636363636364
1920,Athletics Men's Discus Throw,87.28571428571429
1920,Athletics Men's Hammer Throw,99.0
1920,Athletics Men's High Jump,72.0
1920,Athletics Men's Javelin Throw,76.8
1920,Athletics Men's Long Jump,73.9
1920,Athletics Men's Marathon,63.9375
1920,Athletics Men's Pentathlon,80.77777777777777
1920,Athletics Men's Pole Vault,67.25
1920,Athletics Men's Shot Put,94.0909090909091
1920,Athletics Men's Triple Jump,71.58333333333333
1920,Boxing Men's Bantamweight,
1920,Boxing Men's Featherweight,57.666666666666664
1920,Boxing Men's Flyweight,51.0
1920,Boxing Men's Heavyweight,
1920,Boxing Men's Light-Heavyweight,
1920,Boxing Men's Lightweight,
1920,Boxing Men's Middleweight,
1920,Boxing Men's Welterweight,
1920,Cycling Men's 50 kilometres,70.0
1920,"Cycling Men's Road Race, Individual",
1920,"Cycling Men's Road Race, Team",
1920,Cycling Men's Sprint,70.0
1920,"Cycling Men's Tandem Sprint, 2,000 metres",
1920,"Cycling Men's Team Pursuit, 4,000 metres",72.5
1920,Diving Men's Plain High,
1920,Diving Men's Platform,68.0
1920,Diving Men's Springboard,
1920,Diving Women's Plain High,
1920,Diving Women's Springboard,
1920,"Equestrianism Men's Dressage, Individual",
1920,"Equestrianism Men's Jumping, Individual",
1920,"Equestrianism Men's Jumping, Team",
1920,"Equestrianism Men's Three-Day Event, Individual",
1920,"Equestrianism Men's Three-Day Event, Team",
1920,"Equestrianism Men's Vaulting, Individual",
1920,"Equestrianism Men's Vaulting, Team",
1920,"Fencing Men's Foil, Individual",74.5
1920,"Fencing Men's Foil, Team",77.0
1920,"Fencing Men's Sabre, Individual",75.5
1920,"Fencing Men's Sabre, Team",75.5
1920,"Fencing Men's epee, Individual",78.33333333333333
1920,"Fencing Men's epee, Team",76.8
