"source","target","value"
1952,1984,0.00161899622234215
1960,1984,0.00398053958425475
1968,1984,0.0141843971631206
1924,1984,0
1964,1984,0.00965169953839698
2012,1984,0.00241196333815726
1984,1984,1
1988,1984,0.425248364429368
2016,1984,0.00198511166253102
2000,1984,0.0146222583265638
1972,1984,0.047757341077767
1976,1984,0.156721782890007
1956,1984,0.00186915887850467
1980,1984,0.386570743405276
1920,1984,0
1908,1984,0
1900,1984,0
1912,1984,0
1906,1984,0
1904,1984,0
1896,1984,0.0285714285714286
2004,1988,0.0237651444547996
2008,1988,0.0104567122866369
1992,1988,0.491213731099305
1996,1988,0.180181754631248
1932,1988,0
1936,1988,0.0010989010989011
1948,1988,0.00148148148148148
1928,1988,0.00094876660341556
1952,1988,0.00269832703723691
1960,1988,0.00486510393631137
1968,1988,0.00634565136244868
1924,1988,0.000910746812386157
1964,1988,0.00671422576584138
2012,1988,0.00498472423219167
1984,1988,0.632204610951009
1988,1988,1
2016,1988,0.00446650124069479
2000,1988,0.0645004061738424
1972,1988,0.0193610842207164
1976,1988,0.0593098490294752
1956,1988,0.00249221183800623
1980,1988,0.203357314148681
1920,1988,0
1908,1988,0.0017921146953405
1900,1988,0
1912,1988,0
1906,1988,0.0040983606557377
1904,1988,0
1896,1988,0.0285714285714286
2004,2016,0.0893134513824169
2008,2016,0.247424265723512
1992,2016,0.00653861871679608
1996,2016,0.0146801817546312
1932,2016,0
1936,2016,0.0043956043956044
1948,2016,0.000740740740740741
1928,2016,0
1952,2016,0.00107933081489477
1960,2016,0
1968,2016,0
1924,2016,0
1964,2016,0.000419639110365086
2012,2016,0.583695127834057
1984,2016,0.00288184438040346
1988,2016,0.00436152168645505
2016,2016,1
2000,2016,0.0313566206336312
1972,2016,0.000645369474023879
1976,2016,0.00143781452192667
1956,2016,0
1980,2016,0.00239808153477218
1920,2016,0
1908,2016,0
1900,2016,0
1912,2016,0.00161812297734628
1906,2016,0
1904,2016,0
1896,2016,0
2004,2000,0.540695868282075
2008,2000,0.232969398739044
1992,2000,0.252962811606048
1996,2000,0.582838168472562
1932,2000,0.00143061516452074
1936,2000,0.0021978021978022
1948,2000,0.000740740740740741
1928,2000,0
1952,2000,0
1960,2000,0
1968,2000,0.00111982082866741
1924,2000,0.000910746812386157
1964,2000,0.000839278220730172
2012,2000,0.0927801897411159
1984,2000,0.0324207492795389
1988,2000,0.0961957838623698
2016,2000,0.0478908188585608
2000,2000,1
1972,2000,0.00322684737011939
1976,2000,0.00431344356578001
1956,2000,0
1980,2000,0.0100719424460432
1920,2000,0
1908,2000,0.0017921146953405
1900,2000,0
1912,2000,0
1906,2000,0
1904,2000,0
1896,2000,0
2004,1972,0.000931966449207828
2008,1972,0.000615100722743349
1992,1972,0.00735594605639559
1996,1972,0.00314575323313527
1932,1972,0.00143061516452074
1936,1972,0.0043956043956044
1948,1972,0.00592592592592593
1928,1972,0
1952,1972,0.0091743119266055
1960,1972,0.0712074303405573
1968,1972,0.59873086972751
1924,1972,0.000910746812386157
1964,1972,0.191775073436844
2012,1972,0.000643190223508603
1984,1972,0.053314121037464
1988,1972,0.0145384056215168
2016,1972,0.000496277915632754
2000,1972,0.0016246953696182
1972,1972,1
1976,1972,0.584831056793674
1956,1972,0.0230529595015576
1980,1972,0.19568345323741
1920,1972,0
1908,1972,0.0017921146953405
1900,1972,0
1912,1972,0.00323624595469256
1906,1972,0.0040983606557377
1904,1972,0
1896,1972,0
2004,1976,0.00108729419074247
2008,1976,0.00138397662617254
1992,1976,0.0136902329382918
1996,1976,0.00576721426074799
1932,1976,0
1936,1976,0.0010989010989011
1948,1976,0.00222222222222222
1928,1976,0.00189753320683112
1952,1976,0.0032379924446843
1960,1976,0.0212295444493587
1968,1976,0.173572228443449
1924,1976,0.000910746812386157
1964,1976,0.0499370541334452
2012,1976,0.00112558289114005
1984,1976,0.157060518731988
1988,1976,0.0399806154591713
2016,1976,0.000992555831265509
2000,1976,0.00194963444354184
1972,1976,0.525008067118425
1976,1976,1
1956,1976,0.00809968847352025
1980,1976,0.529016786570743
1920,1976,0.00124069478908189
1908,1976,0.003584229390681
1900,1976,0
1912,1976,0
1906,1976,0
1904,1976,0
1896,1976,0
2004,1956,0.000155327741534638
2008,1956,0.000461325542057512
1992,1956,0.000408663669799755
1996,1956,0.00034952813701503
1932,1956,0.0100143061516452
1936,1956,0.032967032967033
1948,1956,0.162222222222222
1928,1956,0.0047438330170778
1952,1956,0.440366972477064
1960,1956,0.411764705882353
1968,1956,0.0309817095931318
1924,1956,0.000910746812386157
1964,1956,0.130507763323542
2012,1956,0.000160797555877151
1984,1956,0.0010806916426513
1988,1956,0.000969227041434456
2016,1956,0
2000,1956,0
1972,1956,0.0119393352694418
1976,1956,0.00467289719626168
1956,1956,1
1980,1956,0.000479616306954436
1920,1956,0.00124069478908189
1908,1956,0.0017921146953405
1900,1956,0
1912,1956,0
1906,1956,0
1904,1956,0
1896,1956,0
2004,1980,0.00155327741534638
2008,1980,0.000922651084115024
1992,1980,0.0308541070698815
1996,1980,0.00908773156239077
1932,1980,0.00143061516452074
1936,1980,0.0021978021978022
1948,1980,0.00296296296296296
1928,1980,0.00094876660341556
1952,1980,0.00161899622234215
1960,1980,0.00619195046439629
1968,1980,0.0365808137364688
1924,1980,0.000910746812386157
1964,1980,0.00755350398657155
2012,1980,0.000964785335262904
1984,1980,0.290345821325648
1988,1980,0.102738066392052
2016,1980,0.00124069478908189
2000,1980,0.00341186027619821
1972,1980,0.131655372700871
1976,1980,0.39647735442128
1956,1980,0.000623052959501558
1980,1980,1
1920,1980,0
